reference_period,type_of_service,aggregation_level,state,county,state_fips,county_fips,number_of_fee_for_service_beneficiaries,number_of_providers,average_number_of_users_per_provider,percentage_of_users_out_of_ffs_beneficiaries,number_of_users,average_number_of_providers_per_county,number_of_dual_eligible_users,percentage_of_dual_eligible_users_out_of_total_users,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries,total_payment,moratorium,number_of_fee_for_service_beneficiaries_dual_color,number_of_fee_for_service_beneficiaries_description,number_of_providers_dual_color,number_of_providers_description,average_number_of_users_per_provider_dual_color,average_number_of_users_per_provider_description,percentage_of_users_out_of_ffs_beneficiaries_dual_color,percentage_of_users_out_of_ffs_beneficiaries_description,number_of_users_dual_color,number_of_users_description,average_number_of_providers_per_county_dual_color,average_number_of_providers_per_county_description,number_of_dual_eligible_users_dual_color,number_of_dual_eligible_users_description,percentage_of_dual_eligible_users_out_of_total_users_dual_color,percentage_of_dual_eligible_users_out_of_total_users_description,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_dual_color,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_description,total_payment_dual_color,total_payment_description,number_of_fee_for_service_beneficiaries_change,number_of_providers_change,average_number_of_users_per_provider_change,percentage_of_users_out_of_ffs_beneficiaries_change,number_of_users_change,average_number_of_providers_per_county_change,number_of_dual_eligible_users_change,percentage_of_dual_eligible_users_out_of_total_users_change,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_change,total_payment_change
"2020-01-01 to 2020-12-31","Ambulance (Emergency & Non-Emergency)",COUNTY,MI,WAYNE,26,163,"168,970",78,288.67,13.33%,"22,516",78,"10,726",47.64%,21.51%,"$20,795,840.26",No,"BLUE 5","Extreme Values (More than 20,897 Beneficiaries)","BLUE 5","Extreme Values (More than 20 Providers)","BLUE 5","Extreme Values (More than 264.82 Users)","BLUE 3","Third Lowest 25% (11.64% - 13.39% of Users)","BLUE 5","Extreme Values (More than 2,472 Users)","BLUE 5","Extreme Values (More than 20.49 Providers)","BLUE 5","Extreme Values (More than 736 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (34.74% - 54.97% of Total Users)","BLUE 3","Third Lowest 25% (20.38% - 23.01% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,375,817.97 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Ambulance (Emergency)",COUNTY,MI,WAYNE,26,163,"168,970",71,277.65,11.67%,"19,713",71,"9,457",47.97%,18.97%,"$12,876,638.24",No,"BLUE 5","Extreme Values (More than 21,005 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 4","Top 25% Excl. Extreme Values (174.56 - 345.49 Users)","BLUE 3","Third Lowest 25% (10.40% - 12.06% of Users)","BLUE 5","Extreme Values (More than 2,237 Users)","BLUE 5","Extreme Values (More than 14.49 Providers)","BLUE 5","Extreme Values (More than 681 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (35.44% - 56.03% of Total Users)","BLUE 3","Third Lowest 25% (18.71% - 21.17% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,640,935.53 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Ambulance (Non-Emergency)",COUNTY,MI,WAYNE,26,163,"168,970",78,137.91,6.37%,"10,757",78,"5,473",50.88%,10.98%,"$7,819,586.66",No,"BLUE 5","Extreme Values (More than 22,275 Beneficiaries)","BLUE 5","Extreme Values (More than 22 Providers)","BLUE 5","Extreme Values (More than 92.83 Users)","BLUE 4","Top 25% Excl. Extreme Values (5.41% - 9.80% of Users)","BLUE 5","Extreme Values (More than 907 Users)","BLUE 5","Extreme Values (More than 22.99 Providers)","BLUE 5","Extreme Values (More than 301 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (38.06% - 60.07% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (10.18% - 17.10% of Total FFS Beneficiaries","BLUE 5","Extreme Values (More than $722,802.89 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Cardiac Rehabilitation Program",COUNTY,MI,WAYNE,26,163,"175,366",14,42.36,0.34%,593,14,123,20.74%,0.25%,"$1,949,063.66",No,"BLUE 5","Extreme Values (More than 33,238 Beneficiaries)","BLUE 5","Extreme Values (More than 3 Providers)","BLUE 3","Third Lowest 25% (32.00 - 51.59 Users)","BLUE 1","Lowest 25% (Less than 0.37% of Users)","BLUE 5","Extreme Values (More than 159 Users)","BLUE 5","Extreme Values (More than 3.49 Providers)","BLUE 5","Extreme Values (More than 50 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (16.97% - 31.53% of Total Users)","BLUE 2","Second Lowest 25% (0.21% - 0.39% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,186,440.42 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Chiropractic Services",COUNTY,MI,WAYNE,26,163,"168,970",146,32.55,2.81%,"4,753",146,555,11.68%,1.11%,"$1,810,880.87",No,"BLUE 5","Extreme Values (More than 21,676 Beneficiaries)","BLUE 5","Extreme Values (More than 23 Providers)","BLUE 1","Lowest 25% (Less than 34.58 Users)","BLUE 2","Second Lowest 25% (2.51% - 3.93% of Users)","BLUE 5","Extreme Values (More than 1,021 Users)","BLUE 5","Extreme Values (More than 23.49 Providers)","BLUE 5","Extreme Values (More than 112 Dual Eligible Users)","BLUE 3","Third Lowest 25% (8.36% - 12.11% of Total Users)","BLUE 1","Lowest 25% (Less than 1.45% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $269,844.29 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Clinical Laboratory (Billing Independently)",COUNTY,MI,WAYNE,26,163,"168,970",161,292.93,27.91%,"47,162",161,"20,489",43.44%,41.10%,"$16,804,774.64",No,"BLUE 5","Extreme Values (More than 20,568 Beneficiaries)","BLUE 5","Extreme Values (More than 52 Providers)","BLUE 5","Extreme Values (More than 277.92 Users)","BLUE 2","Second Lowest 25% (20.67% - 34.89% of Users)","BLUE 5","Extreme Values (More than 7,772 Users)","BLUE 5","Extreme Values (More than 52.99 Providers)","BLUE 5","Extreme Values (More than 1,458 Dual Eligible Users)","BLUE 5","Extreme Values (More than 40.17% of Total Users)","BLUE 3","Third Lowest 25% (39.78% - 53.12% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,997,036.20 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31",Dialysis,COUNTY,MI,WAYNE,26,163,"175,366",67,45.90,1.75%,"3,075",67,"1,713",55.71%,3.45%,"$74,438,177.19",No,"BLUE 5","Extreme Values (More than 28,658 Beneficiaries)","BLUE 5","Extreme Values (More than 5 Providers)","BLUE 3","Third Lowest 25% (35.00 - 47.66 Users)","BLUE 4","Top 25% Excl. Extreme Values (1.22% - 2.13% of Users)","BLUE 5","Extreme Values (More than 243 Users)","BLUE 5","Extreme Values (More than 5.99 Providers)","BLUE 5","Extreme Values (More than 140 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (47.73% - 70.79% of Total Users)","BLUE 3","Third Lowest 25% (2.39% - 3.52% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $6,002,496.40 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Federally Qualified Health Center (FQHC)",COUNTY,MI,WAYNE,26,163,"175,366",35,88.91,1.77%,"3,112",35,"2,126",68.32%,4.28%,"$1,227,025.81",No,"BLUE 5","Extreme Values (More than 26,040 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 3","Third Lowest 25% (80.67 - 139.49 Users)","BLUE 2","Second Lowest 25% (1.48% - 3.58% of Users)","BLUE 5","Extreme Values (More than 1,322 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 574 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (50.00% - 81.15% of Total Users)","BLUE 1","Lowest 25% (Less than 5.85% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $593,393.98 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Home Health",COUNTY,MI,WAYNE,26,163,"175,366",208,86.01,10.20%,"17,891",208,"7,446",41.62%,14.98%,"$84,342,779.72",No,"BLUE 5","Extreme Values (More than 22,327 Beneficiaries)","BLUE 5","Extreme Values (More than 16 Providers)","BLUE 3","Third Lowest 25% (68.00 - 123.99 Users)","BLUE 4","Top 25% Excl. Extreme Values (8.41% - 13.65% of Users)","BLUE 5","Extreme Values (More than 1,645 Users)","BLUE 5","Extreme Values (More than 16.99 Providers)","BLUE 5","Extreme Values (More than 369 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (25.97% - 43.35% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (11.48% - 18.33% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $8,624,118.47 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31",Hospice,COUNTY,MI,WAYNE,26,163,"175,366",35,105.43,2.10%,"3,690",35,"1,159",31.41%,2.33%,"$38,055,257.46",No,"BLUE 5","Extreme Values (More than 23,245 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 4","Top 25% Excl. Extreme Values (71.50 - 130.44 Users)","BLUE 2","Second Lowest 25% (1.98% - 2.44% of Users)","BLUE 5","Extreme Values (More than 584 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 142 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (28.10% - 47.97% of Total Users)","BLUE 1","Lowest 25% (Less than 2.50% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $7,629,267.70 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Independent Diagnostic Testing Facility Pt A",COUNTY,MI,WAYNE,26,163,"175,366",82,987.21,46.16%,"80,951",82,"24,123",29.80%,48.53%,"$188,451,378.55",No,"BLUE 5","Extreme Values (More than 21,624 Beneficiaries)","BLUE 5","Extreme Values (More than 34 Providers)","BLUE 5","Extreme Values (More than 633.92 Users)","BLUE 3","Third Lowest 25% (43.76% - 51.99% of Users)","BLUE 5","Extreme Values (More than 10,819 Users)","BLUE 5","Extreme Values (More than 34.49 Providers)","BLUE 5","Extreme Values (More than 1,829 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (20.34% - 34.69% of Total Users)","BLUE 3","Third Lowest 25% (46.49% - 54.72% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $25,715,917.83 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Independent Diagnostic Testing Facility Pt B",COUNTY,MI,WAYNE,26,163,"168,970",47,141.49,3.94%,"6,650",47,"2,692",40.48%,5.40%,"$2,427,187.78",No,"BLUE 5","Extreme Values (More than 21,463 Beneficiaries)","BLUE 5","Extreme Values (More than 19 Providers)","BLUE 5","Extreme Values (More than 115.28 Users)","BLUE 2","Second Lowest 25% (3.27% - 4.36% of Users)","BLUE 5","Extreme Values (More than 1,082 Users)","BLUE 5","Extreme Values (More than 19.49 Providers)","BLUE 5","Extreme Values (More than 216 Dual Eligible Users)","BLUE 5","Extreme Values (More than 39.42% of Total Users)","BLUE 3","Third Lowest 25% (4.79% - 6.57% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $353,357.13 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Long-Term Care Hospitals",COUNTY,MI,WAYNE,26,163,"175,366",7,92.14,0.37%,645,7,365,56.59%,0.73%,"$32,590,759.18",No,"BLUE 5","Extreme Values (More than 65,913 Beneficiaries)","BLUE 5","Extreme Values (More than 2 Providers)","BLUE 4","Top 25% Excl. Extreme Values (53.00 - 101.24 Users)","BLUE 3","Third Lowest 25% (0.23% - 0.42% of Users)","BLUE 5","Extreme Values (More than 119 Users)","BLUE 5","Extreme Values (More than 2.49 Providers)","BLUE 5","Extreme Values (More than 82 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (44.42% - 69.31% of Total Users)","BLUE 3","Third Lowest 25% (0.62% - 1.17% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $5,376,027.41 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31",Neurology,COUNTY,MI,WAYNE,26,163,"174,915",67,52.12,2.00%,"3,492",67,"1,506",43.13%,3.01%,"$574,034.45",No,"BLUE 5","Extreme Values (More than 27,978 Beneficiaries)","BLUE 5","Extreme Values (More than 4 Providers)","BLUE 3","Third Lowest 25% (48.22 - 64.99 Users)","BLUE 4","Top 25% Excl. Extreme Values (1.25% - 2.01% of Users)","BLUE 5","Extreme Values (More than 287 Users)","BLUE 5","Extreme Values (More than 4.99 Providers)","BLUE 5","Extreme Values (More than 107 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (29.35% - 49.68% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (1.97% - 3.16% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $39,951.72 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31",Ophthalmology,COUNTY,MI,WAYNE,26,163,"168,970",424,97.00,24.34%,"41,129",424,"9,916",24.11%,19.89%,"$24,379,199.93",No,"BLUE 5","Extreme Values (More than 20,593 Beneficiaries)","BLUE 5","Extreme Values (More than 83 Providers)","BLUE 4","Top 25% Excl. Extreme Values (77.29 - 135.62 Users)","BLUE 1","Lowest 25% (Less than 25.20% of Users)","BLUE 5","Extreme Values (More than 6,104 Users)","BLUE 5","Extreme Values (More than 83.49 Providers)","BLUE 5","Extreme Values (More than 726 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (16.10% - 28.56% of Total Users)","BLUE 2","Second Lowest 25% (18.07% - 21.03% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $3,420,797.24 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Physical & Occupational Therapy",COUNTY,MI,WAYNE,26,163,"168,970",385,23.97,5.46%,"9,227",385,"2,727",29.55%,5.47%,"$10,912,467.84",No,"BLUE 5","Extreme Values (More than 21,508 Beneficiaries)","BLUE 5","Extreme Values (More than 43 Providers)","BLUE 1","Lowest 25% (Less than 28.84 Users)","BLUE 3","Third Lowest 25% (5.18% - 7.48% of Users)","BLUE 5","Extreme Values (More than 1,434 Users)","BLUE 5","Extreme Values (More than 43.49 Providers)","BLUE 5","Extreme Values (More than 211 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (17.50% - 31.10% of Total Users)","BLUE 3","Third Lowest 25% (4.37% - 6.04% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,211,248.91 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Podiatry Services",COUNTY,MI,WAYNE,26,163,"172,769",293,105.87,17.95%,"31,020",293,"12,226",39.41%,24.46%,"$7,193,190.17",No,"BLUE 5","Extreme Values (More than 21,737 Beneficiaries)","BLUE 5","Extreme Values (More than 27 Providers)","BLUE 4","Top 25% Excl. Extreme Values (95.50 - 180.24 Users)","BLUE 4","Top 25% Excl. Extreme Values (11.16% - 18.29% of Users)","BLUE 5","Extreme Values (More than 2,243 Users)","BLUE 5","Extreme Values (More than 27.99 Providers)","BLUE 5","Extreme Values (More than 475 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (27.45% - 46.30% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (16.22% - 27.24% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $387,723.94 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Preventive Health Services",COUNTY,MI,WAYNE,26,163,"168,970","1,982",46.94,55.06%,"93,040","1,982.00","28,111",30.21%,56.38%,"$14,954,382.39",No,"BLUE 5","Extreme Values (More than 20,570 Beneficiaries)","BLUE 5","Extreme Values (More than 233 Providers)","BLUE 3","Third Lowest 25% (45.70 - 58.89 Users)","BLUE 2","Second Lowest 25% (49.31% - 57.57% of Users)","BLUE 5","Extreme Values (More than 12,527 Users)","BLUE 5","Extreme Values (More than 233.49 Providers)","BLUE 5","Extreme Values (More than 1,780 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (18.54% - 32.38% of Total Users)","BLUE 3","Third Lowest 25% (50.94% - 58.27% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,009,684.88 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31",Psychotherapy,COUNTY,MI,WAYNE,26,163,"168,970",443,33.09,8.68%,"14,661",443,"8,241",56.21%,16.53%,"$10,063,970.05",No,"BLUE 5","Extreme Values (More than 21,936 Beneficiaries)","BLUE 5","Extreme Values (More than 28 Providers)","BLUE 1","Lowest 25% (Less than 34.72 Users)","BLUE 5","Extreme Values (More than 8.16% of Users)","BLUE 5","Extreme Values (More than 1,026 Users)","BLUE 5","Extreme Values (More than 28.49 Providers)","BLUE 5","Extreme Values (More than 409 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (47.37% - 72.56% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (13.30% - 22.67% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $521,436.84 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31",Pulmonology,COUNTY,MI,WAYNE,26,163,"170,629",991,32.72,19.00%,"32,426",991,"10,662",32.88%,21.33%,"$5,171,126.67",No,"BLUE 5","Extreme Values (More than 20,917 Beneficiaries)","BLUE 5","Extreme Values (More than 102 Providers)","BLUE 1","Lowest 25% (Less than 38.79 Users)","BLUE 3","Third Lowest 25% (17.59% - 20.08% of Users)","BLUE 5","Extreme Values (More than 3,979 Users)","BLUE 5","Extreme Values (More than 102.99 Providers)","BLUE 5","Extreme Values (More than 693 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (21.54% - 36.29% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (21.30% - 29.62% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $611,944.90 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31","Skilled Nursing Facility",COUNTY,MI,WAYNE,26,163,"175,366",110,66.65,4.18%,"7,332",110,"3,538",48.25%,7.12%,"$115,981,376.59",No,"BLUE 5","Extreme Values (More than 23,216 Beneficiaries)","BLUE 5","Extreme Values (More than 15 Providers)","BLUE 4","Top 25% Excl. Extreme Values (66.00 - 105.74 Users)","BLUE 4","Top 25% Excl. Extreme Values (4.13% - 6.30% of Users)","BLUE 5","Extreme Values (More than 801 Users)","BLUE 5","Extreme Values (More than 15.99 Providers)","BLUE 5","Extreme Values (More than 253 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (39.73% - 64.88% of Total Users)","BLUE 3","Third Lowest 25% (6.72% - 8.83% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $13,566,993.90 )"," "," "," "," "," "," "," "," "," "," "
"2020-01-01 to 2020-12-31",Telemedicine,COUNTY,MI,WAYNE,26,163,"168,970",663,40.54,15.91%,"26,881",663,"11,396",42.39%,22.86%,"$4,580,751.46",No,"BLUE 5","Extreme Values (More than 20,930 Beneficiaries)","BLUE 5","Extreme Values (More than 33 Providers)","BLUE 1","Lowest 25% (Less than 41.96 Users)","BLUE 5","Extreme Values (More than 15.75% of Users)","BLUE 5","Extreme Values (More than 1,631 Users)","BLUE 5","Extreme Values (More than 33.49 Providers)","BLUE 5","Extreme Values (More than 494 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (37.54% - 61.49% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (16.45% - 26.81% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $236,233.78 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Ambulance (Emergency & Non-Emergency)",COUNTY,MI,WAYNE,26,163,"179,991",71,299.46,11.81%,"21,262",71,"9,524",44.79%,20.10%,"$19,934,204.76",No,"BLUE 5","Extreme Values (More than 22,957 Beneficiaries)","BLUE 5","Extreme Values (More than 20 Providers)","BLUE 5","Extreme Values (More than 266.84 Users)","BLUE 3","Third Lowest 25% (10.86% - 12.51% of Users)","BLUE 5","Extreme Values (More than 2,545 Users)","BLUE 5","Extreme Values (More than 20.49 Providers)","BLUE 5","Extreme Values (More than 710 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (32.20% - 51.45% of Total Users)","BLUE 3","Third Lowest 25% (19.87% - 22.50% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,417,887.53 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Ambulance (Emergency)",COUNTY,MI,WAYNE,26,163,"179,991",64,290.00,10.31%,"18,560",64,"8,401",45.26%,17.73%,"$12,309,949.09",No,"BLUE 5","Extreme Values (More than 23,128 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 4","Top 25% Excl. Extreme Values (177.67 - 350.79 Users)","BLUE 3","Third Lowest 25% (9.72% - 11.27% of Users)","BLUE 5","Extreme Values (More than 2,298 Users)","BLUE 5","Extreme Values (More than 14.49 Providers)","BLUE 5","Extreme Values (More than 648 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (32.85% - 52.35% of Total Users)","BLUE 2","Second Lowest 25% (15.28% - 18.21% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,663,123.52 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Ambulance (Non-Emergency)",COUNTY,MI,WAYNE,26,163,"179,991",71,143.03,5.64%,"10,155",71,"4,935",48.60%,10.41%,"$7,529,169.14",No,"BLUE 5","Extreme Values (More than 24,398 Beneficiaries)","BLUE 5","Extreme Values (More than 22 Providers)","BLUE 5","Extreme Values (More than 93.78 Users)","BLUE 4","Top 25% Excl. Extreme Values (5.07% - 9.20% of Users)","BLUE 5","Extreme Values (More than 931 Users)","BLUE 5","Extreme Values (More than 22.99 Providers)","BLUE 5","Extreme Values (More than 293 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (36.24% - 58.22% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (10.14% - 17.03% of Total FFS Beneficiaries","BLUE 5","Extreme Values (More than $738,893.51 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Cardiac Rehabilitation Program",COUNTY,MI,WAYNE,26,163,"180,552",12,43.67,0.29%,524,12,91,17.37%,0.19%,"$2,250,717.15",No,"BLUE 5","Extreme Values (More than 36,651 Beneficiaries)","BLUE 5","Extreme Values (More than 3 Providers)","BLUE 3","Third Lowest 25% (31.00 - 48.66 Users)","BLUE 1","Lowest 25% (Less than 0.32% of Users)","BLUE 5","Extreme Values (More than 147 Users)","BLUE 5","Extreme Values (More than 3.49 Providers)","BLUE 5","Extreme Values (More than 47 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (16.48% - 30.62% of Total Users)","BLUE 1","Lowest 25% (Less than 0.20% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,230,597.37 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Chiropractic Services",COUNTY,MI,WAYNE,26,163,"179,991",150,32.53,2.71%,"4,880",150,532,10.90%,1.12%,"$1,900,850.80",No,"BLUE 5","Extreme Values (More than 23,681 Beneficiaries)","BLUE 5","Extreme Values (More than 24 Providers)","BLUE 1","Lowest 25% (Less than 35.25 Users)","BLUE 2","Second Lowest 25% (2.42% - 3.80% of Users)","BLUE 5","Extreme Values (More than 1,095 Users)","BLUE 5","Extreme Values (More than 24.49 Providers)","BLUE 5","Extreme Values (More than 107 Dual Eligible Users)","BLUE 3","Third Lowest 25% (7.60% - 10.91% of Total Users)","BLUE 1","Lowest 25% (Less than 1.43% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $285,568.36 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Clinical Laboratory (Billing Independently)",COUNTY,MI,WAYNE,26,163,"179,991",163,288.72,26.15%,"47,062",163,"19,056",40.49%,40.21%,"$19,118,524.35",No,"BLUE 5","Extreme Values (More than 22,853 Beneficiaries)","BLUE 5","Extreme Values (More than 55 Providers)","BLUE 4","Top 25% Excl. Extreme Values (151.06 - 289.73 Users)","BLUE 2","Second Lowest 25% (19.71% - 33.53% of Users)","BLUE 5","Extreme Values (More than 8,264 Users)","BLUE 5","Extreme Values (More than 55.49 Providers)","BLUE 5","Extreme Values (More than 1,399 Dual Eligible Users)","BLUE 5","Extreme Values (More than 36.44% of Total Users)","BLUE 3","Third Lowest 25% (39.18% - 52.21% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,205,695.21 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31",Dialysis,COUNTY,MI,WAYNE,26,163,"180,552",67,44.33,1.64%,"2,970",67,"1,631",54.92%,3.44%,"$71,625,121.88",No,"BLUE 5","Extreme Values (More than 30,263 Beneficiaries)","BLUE 5","Extreme Values (More than 5 Providers)","BLUE 3","Third Lowest 25% (35.00 - 46.85 Users)","BLUE 4","Top 25% Excl. Extreme Values (1.14% - 1.97% of Users)","BLUE 5","Extreme Values (More than 243 Users)","BLUE 5","Extreme Values (More than 5.99 Providers)","BLUE 5","Extreme Values (More than 141 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (47.30% - 70.38% of Total Users)","BLUE 3","Third Lowest 25% (2.40% - 3.61% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $5,829,104.38 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Federally Qualified Health Center (FQHC)",COUNTY,MI,WAYNE,26,163,"180,552",35,84.94,1.65%,"2,973",35,"1,989",66.90%,4.20%,"$1,183,576.51",No,"BLUE 5","Extreme Values (More than 27,177 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 3","Third Lowest 25% (81.00 - 140.19 Users)","BLUE 2","Second Lowest 25% (1.43% - 3.43% of Users)","BLUE 5","Extreme Values (More than 1,338 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 568 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (47.68% - 78.11% of Total Users)","BLUE 1","Lowest 25% (Less than 5.79% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $595,311.26 )"," "," "," "," "," "," "," "," "," "," "
"2020-04-01 to 2021-03-31","Home Health",COUNTY,MI,WAYNE,26,163,"180,552",205,86.85,9.86%,"17,804",205,"7,126",40.02%,15.05%,"$87,274,835.26",No,"BLUE 5","Extreme Values (More than 23,443 Beneficiaries)","BLUE 5","Extreme Values (More than 16 Providers)","BLUE 3","Third Lowest 25% (70.31 - 126.99 Users)","BLUE 4","Top 25% Excl. Extreme Values (8.39% - 13.53% of Users)","BLUE 5","Extreme Values (More than 1,713 Users)","BLUE 5","Extreme Values (More than 16.99 Providers)","BLUE 5","Extreme Values (More than 369 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (24.68% - 41.26% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (11.84% - 18.89% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $9,124,667.38 )"," "," "," "," "," "," "," "," "," "," "
